 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 
   472    4.179          12.000        1542.000         793.000;
   473    4.188          12.000        1542.000         793.000;
   474    4.197          12.000        1542.000         793.000;
   475    4.206          12.000        1542.000         793.000;
   476    4.215          12.000        1542.000         793.000;
   477    4.223          12.000        1542.000         793.000;
   478    4.232          12.000        1542.000         793.000;
   479    4.241          12.000        1542.000         793.000;
   480    4.250          12.000        1542.000         793.000;
   481    4.259          12.000        1542.000         793.000;
   482    4.268          12.000        1542.000         793.000;
   483    4.277          12.000        1542.000         793.000;
   484    4.285          12.000        1542.000         793.000;
   485    4.294          12.000        1542.000         793.000;
   486    4.303          12.000        1542.000         793.000;
   487    4.312          12.000        1542.000         793.000;
   488    4.321          12.000        1542.000         793.000;
   489    4.330          12.000        1542.000         793.000;
   490    4.339          12.000        1542.000         793.000;
   491    4.347          12.000        1542.000         793.000;
   492    4.356          12.000        1542.000         793.000;
   493    4.365          12.000        1542.000         793.000;
   494    4.374          12.000        1542.000         793.000;
   495    4.383          12.000        1542.000         793.000;
   496    4.392          12.000        1542.000         793.000;
   497    4.401          12.000        1542.000         793.000;
   498    4.409          12.000        1542.000         793.000;
   499    4.418          12.000        1542.000         793.000;
   500    4.427          12.000        1542.000         793.000;
   501    4.436          12.000        1542.000         793.000;
   502    4.445          12.000        1542.000         793.000;
   503    4.454          12.000        1542.000         793.000;
   504    4.463          12.000        1542.000         793.000;
   505    4.471          12.000        1542.000         793.000;
   506    4.480          12.000        1542.000         793.000;
   507    4.489          12.000        1542.000         793.000;
   508    4.498          12.000        1542.000         793.000;
   509    4.507          12.000        1542.000         793.000;
   510    4.516          12.000        1542.000         793.000;
   511    4.524          12.000        1542.000         793.000;
   512    4.533          12.000        1542.000         793.000;
   513    4.542          12.000        1542.000         793.000;
   514    4.551          12.000        1542.000         793.000;
   515    4.560          12.000        1542.000         793.000;
   516    4.569          12.000        1542.000         793.000;
   517    4.578          12.000        1542.000         793.000;
   518    4.586          12.000        1542.000         793.000;
   519    4.595          12.000        1542.000         793.000;
   520    4.604          12.000        1542.000         793.000;
   521    4.613          12.000        1542.000         793.000;
   522    4.622          12.000        1542.000         793.000;
   523    4.631          12.000        1542.000         793.000;
   524    4.640          12.000        1542.000         793.000;
   525    4.648          12.000        1542.000         793.000;
   526    4.657          12.000        1542.000         793.000;
   527    4.666          12.000        1542.000         793.000;
   528    4.675          12.000        1542.000         793.000;
   529    4.684          12.000        1542.000         793.000;
   530    4.693          12.000        1542.000         793.000;
   531    4.702          12.000        1542.000         793.000;
   532    4.710          12.000        1542.000         793.000;
   533    4.719          12.000        1542.000         793.000;
   534    4.728          12.000        1542.000         793.000;
   535    4.737          12.000        1542.000         793.000;
   536    4.746          12.000        1542.000         793.000;
   537    4.755          12.000        1542.000         793.000;
   538    4.764          12.000        1542.000         793.000;
   539    4.772          12.000        1542.000         793.000;
   540    4.781          12.000        1542.000         793.000;
   541    4.790          12.000        1542.000         793.000;
   542    4.799          12.000        1542.000         793.000;
   543    4.808          12.000        1542.000         793.000;
   544    4.817          12.000        1542.000         793.000;
   545    4.826          12.000        1542.000         793.000;
   546    4.834          12.000        1542.000         793.000;
   547    4.843          12.000        1542.000         793.000;
   548    4.852          12.000        1542.000         793.000;
   549    4.861          12.000        1542.000         793.000;
   550    4.870          12.000        1542.000         793.000;
   551    4.879          12.000        1542.000         793.000;
   552    4.888          12.000        1542.000         793.000;
   553    4.896          12.000        1542.000         793.000;
   554    4.905          12.000        1542.000         793.000;
   555    4.914          12.000        1542.000         793.000;
   556    4.923          12.000        1542.000         793.000;
   557    4.932          12.000        1542.000         793.000;
   558    4.941          12.000        1542.000         793.000;
   559    4.949          12.000        1542.000         793.000;
   560    4.958          12.000        1542.000         793.000;
   561    4.967          12.000        1542.000         793.000;
   562    4.976          12.000        1542.000         793.000;
   563    4.985          12.000        1542.000         793.000;
   564    4.994          12.000        1542.000         793.000;
   565    5.003          12.000        1542.000         793.000;
   566    5.011          12.000        1542.000         793.000;
   567    5.020          12.000        1542.000         793.000;
   568    5.029          12.000        1542.000         793.000;
   569    5.038          12.000        1542.000         793.000;
   570    5.047          12.000        1542.000         793.000;
   571    5.056          12.000        1542.000         793.000;
   572    5.065          12.000        1542.000         793.000;
   573    5.073          12.000        1542.000         793.000;
   574    5.082          12.000        1542.000         793.000;
   575    5.091          12.000        1542.000         793.000;
   576    5.100          12.000        1542.000         793.000;
   577    5.109          12.000        1542.000         793.000;
   578    5.118          12.000        1542.000         793.000;
   579    5.127          12.000        1542.000         793.000;
   580    5.135          12.000        1542.000         793.000;
   581    5.144          12.000        1542.000         793.000;
   582    5.153          12.000        1542.000         793.000;
   583    5.162          12.000        1542.000         793.000;
   584    5.171          12.000        1542.000         793.000;
   585    5.180          12.000        1542.000         793.000;
   586    5.189          12.000        1542.000         793.000;
   587    5.197          12.000        1542.000         793.000;
   588    5.206          12.000        1542.000         793.000;
   589    5.215          12.000        1542.000         793.000;
   590    5.224          12.000        1542.000         793.000;
   591    5.233          12.000        1542.000         793.000;
   592    5.242          12.000        1542.000         793.000;
   593    5.251          12.000        1542.000         793.000;
   594    5.259          12.000        1542.000         793.000;
   595    5.268          12.000        1542.000         793.000;
   596    5.277          12.000        1542.000         793.000;
   597    5.286          12.000        1542.000         793.000;
   598    5.295          12.000        1542.000         793.000;
   599    5.304          12.000        1542.000         793.000;
   600    5.313          12.000        1542.000         793.000;
   601    5.321          12.000        1542.000         793.000;
   602    5.330          12.000        1542.000         793.000;
   603    5.339          12.000        1542.000         793.000;
   604    5.348          12.000        1542.000         793.000;
   605    5.357          12.000        1542.000         793.000;
   606    5.366          12.000        1542.000         793.000;
   607    5.374          12.000        1542.000         793.000;
   608    5.383          12.000        1542.000         793.000;
   609    5.392          12.000        1542.000         793.000;
   610    5.401          12.000        1542.000         793.000;
   611    5.410          12.000        1542.000         793.000;
   612    5.419          12.000        1542.000         793.000;
   613    5.428          12.000        1542.000         793.000;
   614    5.436          12.000        1542.000         793.000;
   615    5.445          12.000        1542.000         793.000;
   616    5.454          12.000        1542.000         793.000;
   617    5.463          12.000        1542.000         793.000;
   618    5.472          12.000        1542.000         793.000;
   619    5.481          12.000        1542.000         793.000;
   620    5.490          12.000        1542.000         793.000;
   621    5.498          12.000        1542.000         793.000;
   622    5.507          12.000        1542.000         793.000;
   623    5.516          12.000        1542.000         793.000;
   624    5.525          12.000        1542.000         793.000;
   625    5.534          12.000        1542.000         793.000;
   626    5.543          12.000        1542.000         793.000;
   627    5.552          12.000        1542.000         793.000;
   628    5.560          12.000        1542.000         793.000;
   629    5.569          12.000        1542.000         793.000;
   630    5.578          12.000        1542.000         793.000;
   631    5.587          12.000        1542.000         793.000;
   632    5.596          12.000        1542.000         793.000;
   633    5.605          12.000        1542.000         793.000;
   634    5.614          12.000        1542.000         793.000;
   635    5.622          12.000        1542.000         793.000;
   636    5.631          12.000        1542.000         793.000;
   637    5.640          12.000        1542.000         793.000;
   638    5.649          12.000        1542.000         793.000;
   639    5.658          12.000        1542.000         793.000;
   640    5.667          12.000        1542.000         793.000;
   641    5.676          12.000        1542.000         793.000;
   642    5.684          12.000        1542.000         793.000;
   643    5.693          12.000        1542.000         793.000;
   644    5.702          12.000        1542.000         793.000;
   645    5.711          12.000        1542.000         793.000;
   646    5.720          12.000        1542.000         793.000;
   647    5.729          12.000        1542.000         793.000;
   648    5.738          12.000        1542.000         793.000;
   649    5.746          12.000        1542.000         793.000;
   650    5.755          12.000        1542.000         793.000;
   651    5.764          12.000        1542.000         793.000;
   652    5.773          12.000        1542.000         793.000;
   653    5.782          12.000        1542.000         793.000;
   654    5.791          12.000        1542.000         793.000;
